year,state,industry,employed
2009,Sabah,Manufacturing,95.3
2010,Sabah,"Electricity, gas, steam and air conditioning supply",4.8
2011,Sabah,"Electricity, gas, steam and air conditioning supply",5.2
2012,Sabah,"Electricity, gas, steam and air conditioning supply",4.4
2013,Sabah,"Electricity, gas, steam and air conditioning supply",6.1
2014,Sabah,"Electricity, gas, steam and air conditioning supply",4.2
2015,Sabah,"Electricity, gas, steam and air conditioning supply",5.7
2016,Sabah,"Electricity, gas, steam and air conditioning supply",6.8
2017,Sabah,"Electricity, gas, steam and air conditioning supply",7.4
2018,Sabah,"Electricity, gas, steam and air conditioning supply",6.6
2019,Sabah,"Electricity, gas, steam and air conditioning supply",7.3
2020,Sabah,"Electricity, gas, steam and air conditioning supply",7.8
2021,Sabah,"Electricity, gas, steam and air conditioning supply",8.4
1982,Sarawak,"Electricity, gas and water",3.2
1983,Sarawak,"Electricity, gas and water",3.9
1984,Sarawak,"Electricity, gas and water",3.1
1985,Sarawak,"Electricity, gas and water",2.5
1986,Sarawak,"Electricity, gas and water",3.4
1987,Sarawak,"Electricity, gas and water",4.2
1988,Sarawak,"Electricity, gas and water",4.1
1989,Sarawak,"Electricity, gas and water",3.7
1990,Sarawak,"Electricity, gas and water",5.4
1992,Sarawak,"Electricity, gas and water",5
1993,Sarawak,"Electricity, gas and water",4.1
1995,Sarawak,"Electricity, gas and water",5.4
1996,Sarawak,"Electricity, gas and water",4.9
1997,Sarawak,"Electricity, gas and water",5.5
1998,Sarawak,"Electricity, gas and water",6.1
1999,Sarawak,"Electricity, gas and water",6.1
2000,Sarawak,"Electricity, gas and water",5.4
2001,Sarawak,Manufacturing,116
2002,Sarawak,Manufacturing,108.3
2003,Sarawak,Manufacturing,116
2004,Sarawak,Manufacturing,113.3
2005,Sarawak,Manufacturing,107.4
2006,Sarawak,Manufacturing,112.8
2007,Sarawak,Manufacturing,110.8
2008,Sarawak,Manufacturing,112.2
2009,Sarawak,Manufacturing,99.8
2010,Sarawak,"Electricity, gas, steam and air conditioning supply",4.8
2011,Sarawak,"Electricity, gas, steam and air conditioning supply",4.6
2012,Sarawak,"Electricity, gas, steam and air conditioning supply",7.2
2013,Sarawak,"Electricity, gas, steam and air conditioning supply",4.4
2014,Sarawak,"Electricity, gas, steam and air conditioning supply",4.2
2015,Sarawak,"Electricity, gas, steam and air conditioning supply",8.7
2016,Sarawak,"Electricity, gas, steam and air conditioning supply",7.2
2017,Sarawak,"Electricity, gas, steam and air conditioning supply",8.3
2018,Sarawak,"Electricity, gas, steam and air conditioning supply",6
2019,Sarawak,"Electricity, gas, steam and air conditioning supply",6.4
2020,Sarawak,"Electricity, gas, steam and air conditioning supply",12.8
2021,Sarawak,"Electricity, gas, steam and air conditioning supply",8.7
1982,Selangor,"Electricity, gas and water",4.3
1983,Selangor,"Electricity, gas and water",4.9
1984,Selangor,"Electricity, gas and water",3.7
1985,Selangor,"Electricity, gas and water",2.8
1986,Selangor,"Electricity, gas and water",4
1987,Selangor,"Electricity, gas and water",4.4
1988,Selangor,"Electricity, gas and water",7.4
1989,Selangor,"Electricity, gas and water",6.3
1990,Selangor,"Electricity, gas and water",8.1
1992,Selangor,"Electricity, gas and water",7.4
1993,Selangor,"Electricity, gas and water",8.8
1995,Selangor,"Electricity, gas and water",7.4
1996,Selangor,"Electricity, gas and water",6.9
1997,Selangor,"Electricity, gas and water",7.6
1998,Selangor,"Electricity, gas and water",8.1
1999,Selangor,"Electricity, gas and water",10.2
2000,Selangor,"Electricity, gas and water",11.5
2001,Selangor,Manufacturing,404.3
2002,Selangor,Manufacturing,455.8
2003,Selangor,Manufacturing,457.3
2004,Selangor,Manufacturing,444.2
2005,Selangor,Manufacturing,447.8
2006,Selangor,Manufacturing,484
2007,Selangor,Manufacturing,446.2
2008,Selangor,Manufacturing,469.2
2009,Selangor,Manufacturing,415
2010,Selangor,"Electricity, gas, steam and air conditioning supply",22.7
2011,Selangor,"Electricity, gas, steam and air conditioning supply",15.8
2012,Selangor,"Electricity, gas, steam and air conditioning supply",18.6
2013,Selangor,"Electricity, gas, steam and air conditioning supply",19.1
2014,Selangor,"Electricity, gas, steam and air conditioning supply",25.4
2015,Selangor,"Electricity, gas, steam and air conditioning supply",14.6
2016,Selangor,"Electricity, gas, steam and air conditioning supply",23.9
2017,Selangor,"Electricity, gas, steam and air conditioning supply",12.5
2018,Selangor,"Electricity, gas, steam and air conditioning supply",17.2
2019,Selangor,"Electricity, gas, steam and air conditioning supply",17.7
2020,Selangor,"Electricity, gas, steam and air conditioning supply",21.6
2021,Selangor,"Electricity, gas, steam and air conditioning supply",21.1
1982,Terengganu,"Electricity, gas and water",1.6
1983,Terengganu,"Electricity, gas and water",2.5
1984,Terengganu,"Electricity, gas and water",2.2
1985,Terengganu,"Electricity, gas and water",2.1
1986,Terengganu,"Electricity, gas and water",2
1987,Terengganu,"Electricity, gas and water",1.4
1988,Terengganu,"Electricity, gas and water",1.4
1989,Terengganu,"Electricity, gas and water",1.4
1990,Terengganu,"Electricity, gas and water",1.2
1992,Terengganu,"Electricity, gas and water",2.1
1993,Terengganu,"Electricity, gas and water",3.5
1995,Terengganu,"Electricity, gas and water",2.4
1996,Terengganu,"Electricity, gas and water",2.5
1997,Terengganu,"Electricity, gas and water",3.1
1998,Terengganu,"Electricity, gas and water",2.7
1999,Terengganu,"Electricity, gas and water",2.3
2000,Terengganu,"Electricity, gas and water",1.6
2001,Terengganu,Manufacturing,43.7
2002,Terengganu,Manufacturing,34.6
2003,Terengganu,Manufacturing,47.9
2004,Terengganu,Manufacturing,46.1
2005,Terengganu,Manufacturing,45.1
2006,Terengganu,Manufacturing,47.9
2007,Terengganu,Manufacturing,45
2008,Terengganu,Manufacturing,42.1
2009,Terengganu,Manufacturing,47.3
2010,Terengganu,"Electricity, gas, steam and air conditioning supply",2.1
2011,Terengganu,"Electricity, gas, steam and air conditioning supply",2.5
2012,Terengganu,"Electricity, gas, steam and air conditioning supply",5.4
2013,Terengganu,"Electricity, gas, steam and air conditioning supply",4.3
2014,Terengganu,"Electricity, gas, steam and air conditioning supply",4.3
2015,Terengganu,"Electricity, gas, steam and air conditioning supply",3.4
2016,Terengganu,"Electricity, gas, steam and air conditioning supply",3.3
2017,Terengganu,"Electricity, gas, steam and air conditioning supply",4.2
2018,Terengganu,"Electricity, gas, steam and air conditioning supply",2.3
2019,Terengganu,"Electricity, gas, steam and air conditioning supply",2.6
2020,Terengganu,"Electricity, gas, steam and air conditioning supply",2.1
2021,Terengganu,"Electricity, gas, steam and air conditioning supply",2.2
2001,Kuala Lumpur,Manufacturing,97.8
2002,Kuala Lumpur,Manufacturing,92.3
2003,Kuala Lumpur,Manufacturing,79.1
2004,Kuala Lumpur,Manufacturing,62.7
2005,Kuala Lumpur,Manufacturing,71
2006,Kuala Lumpur,Manufacturing,70.1
2007,Kuala Lumpur,Manufacturing,61.9
2008,Kuala Lumpur,Manufacturing,62.2
2009,Kuala Lumpur,Manufacturing,54.1
2010,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",4
2011,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",2.9
2012,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",3.7
2013,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",4.9
2014,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",4.2
2015,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",2.3
2016,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",4.2
2017,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",2.5
2018,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",2.2
2019,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",2.4
2020,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",2.1
2021,Kuala Lumpur,"Electricity, gas, steam and air conditioning supply",2
1984,Labuan,"Electricity, gas and water",0.7
1985,Labuan,"Electricity, gas and water",0.8
1986,Labuan,"Electricity, gas and water",0.8
1987,Labuan,"Electricity, gas and water",0.2
1988,Labuan,"Electricity, gas and water",0.4
1989,Labuan,"Electricity, gas and water",0.1
1990,Labuan,"Electricity, gas and water",0.2
1992,Labuan,"Electricity, gas and water",0.1
1993,Labuan,"Electricity, gas and water",0
1995,Labuan,"Electricity, gas and water",0.2
1996,Labuan,"Electricity, gas and water",0.2
1997,Labuan,"Electricity, gas and water",0.7
1998,Labuan,"Electricity, gas and water",0.7
1999,Labuan,"Electricity, gas and water",0.9
2000,Labuan,"Electricity, gas and water",0.4
2001,Labuan,Manufacturing,2.9
2002,Labuan,Manufacturing,3.7
2003,Labuan,Manufacturing,3.7
2004,Labuan,Manufacturing,4.2
2005,Labuan,Manufacturing,4.2
2006,Labuan,Manufacturing,2.5
2007,Labuan,Manufacturing,2.6
2008,Labuan,Manufacturing,3.1
2009,Labuan,Manufacturing,3.5
2010,Labuan,"Electricity, gas, steam and air conditioning supply",0.3
2011,Labuan,"Electricity, gas, steam and air conditioning supply",0.2
2012,Labuan,"Electricity, gas, steam and air conditioning supply",0.1
2013,Labuan,"Electricity, gas, steam and air conditioning supply",0.1
2014,Labuan,"Electricity, gas, steam and air conditioning supply",0.3
2015,Labuan,"Electricity, gas, steam and air conditioning supply",0.1
2016,Labuan,"Electricity, gas, steam and air conditioning supply",0.2
2017,Labuan,"Electricity, gas, steam and air conditioning supply",0.2
2018,Labuan,"Electricity, gas, steam and air conditioning supply",0.4
2019,Labuan,"Electricity, gas, steam and air conditioning supply",0.3
2020,Labuan,"Electricity, gas, steam and air conditioning supply",0.1
2021,Labuan,"Electricity, gas, steam and air conditioning supply",0.1
2011,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.2
2012,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.2
2013,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.2
2014,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.1
2015,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.1
2016,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.2
2017,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.1
2018,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.3
2019,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.1
2020,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.2
2021,Putrajaya,"Electricity, gas, steam and air conditioning supply",0.1
1982,Johor,Construction,36.6
1983,Johor,Construction,40.5
1984,Johor,Construction,48.6
1985,Johor,Construction,49.5
1986,Johor,Construction,42.5
1987,Johor,Construction,41
1988,Johor,Construction,43.4
1989,Johor,Construction,48.6
1990,Johor,Construction,57.9
1992,Johor,Construction,80.2
1993,Johor,Construction,84.7
1995,Johor,Construction,68.7
1996,Johor,Construction,92.3
1997,Johor,Construction,95.4
1998,Johor,Construction,85.6
1999,Johor,Construction,82.8
2000,Johor,Construction,93.1
2001,Johor,"Electricity, gas and water supply",6.1
2002,Johor,"Electricity, gas and water supply",5.2
2003,Johor,"Electricity, gas and water supply",9.2
2004,Johor,"Electricity, gas and water supply",6.7
2005,Johor,"Electricity, gas and water supply",6.1
2006,Johor,"Electricity, gas and water supply",12
2007,Johor,"Electricity, gas and water supply",6.1
2008,Johor,"Electricity, gas and water supply",8.2
2009,Johor,"Electricity, gas and water supply",4.7
2010,Johor,"Water supply; sewerage, waste management and remediation activities",9.9
2011,Johor,"Water supply; sewerage, waste management and remediation activities",12
2012,Johor,"Water supply; sewerage, waste management and remediation activities",8.6
2013,Johor,"Water supply; sewerage, waste management and remediation activities",9.8
2014,Johor,"Water supply; sewerage, waste management and remediation activities",11.7
2015,Johor,"Water supply; sewerage, waste management and remediation activities",9.8
2016,Johor,"Water supply; sewerage, waste management and remediation activities",13
2017,Johor,"Water supply; sewerage, waste management and remediation activities",13.5
2018,Johor,"Water supply; sewerage, waste management and remediation activities",14.3
2019,Johor,"Water supply; sewerage, waste management and remediation activities",11.8
2020,Johor,"Water supply; sewerage, waste management and remediation activities",9.6
2021,Johor,"Water supply; sewerage, waste management and remediation activities",10.5
1982,Kedah,Construction,20.7
1983,Kedah,Construction,21.7
1984,Kedah,Construction,28.9
1985,Kedah,Construction,25
1986,Kedah,Construction,24.2
1987,Kedah,Construction,23
1988,Kedah,Construction,27.5
1989,Kedah,Construction,25.2
1990,Kedah,Construction,26.8
1992,Kedah,Construction,34.1
1993,Kedah,Construction,29.8
1995,Kedah,Construction,34.6
1996,Kedah,Construction,31.7
1997,Kedah,Construction,42.6
1998,Kedah,Construction,38.9
1999,Kedah,Construction,45.7
2000,Kedah,Construction,42.3
2001,Kedah,"Electricity, gas and water supply",2.7
2002,Kedah,"Electricity, gas and water supply",1.9
2003,Kedah,"Electricity, gas and water supply",4.4
2004,Kedah,"Electricity, gas and water supply",2.1
2005,Kedah,"Electricity, gas and water supply",2.4
2006,Kedah,"Electricity, gas and water supply",2.1
2007,Kedah,"Electricity, gas and water supply",3.8
2008,Kedah,"Electricity, gas and water supply",2.1
2009,Kedah,"Electricity, gas and water supply",2.6
2010,Kedah,"Water supply; sewerage, waste management and remediation activities",3.2
2011,Kedah,"Water supply; sewerage, waste management and remediation activities",4.7
2012,Kedah,"Water supply; sewerage, waste management and remediation activities",6.7
2013,Kedah,"Water supply; sewerage, waste management and remediation activities",5.9
2014,Kedah,"Water supply; sewerage, waste management and remediation activities",6.3
2015,Kedah,"Water supply; sewerage, waste management and remediation activities",5.5
2016,Kedah,"Water supply; sewerage, waste management and remediation activities",9.8
2017,Kedah,"Water supply; sewerage, waste management and remediation activities",6.6
2018,Kedah,"Water supply; sewerage, waste management and remediation activities",8.2
2019,Kedah,"Water supply; sewerage, waste management and remediation activities",8.6
2020,Kedah,"Water supply; sewerage, waste management and remediation activities",7.1
2021,Kedah,"Water supply; sewerage, waste management and remediation activities",7.3
1982,Kelantan,Construction,24.4
1983,Kelantan,Construction,22.8
1984,Kelantan,Construction,25.4
1985,Kelantan,Construction,23.5
1986,Kelantan,Construction,21.9
1987,Kelantan,Construction,19.2
1988,Kelantan,Construction,21.2
1989,Kelantan,Construction,22.6
1990,Kelantan,Construction,22.7
1992,Kelantan,Construction,23.6
1993,Kelantan,Construction,27
1995,Kelantan,Construction,29.5
1996,Kelantan,Construction,32.9
1997,Kelantan,Construction,35.6
1998,Kelantan,Construction,36.6
1999,Kelantan,Construction,39.9
2000,Kelantan,Construction,42.5
2001,Kelantan,"Electricity, gas and water supply",2.9
2002,Kelantan,"Electricity, gas and water supply",2.5
2003,Kelantan,"Electricity, gas and water supply",1.4
2004,Kelantan,"Electricity, gas and water supply",2.2
2005,Kelantan,"Electricity, gas and water supply",1.8
2006,Kelantan,"Electricity, gas and water supply",1.9
2007,Kelantan,"Electricity, gas and water supply",1.5
2008,Kelantan,"Electricity, gas and water supply",1.3
2009,Kelantan,"Electricity, gas and water supply",1.7
2010,Kelantan,"Water supply; sewerage, waste management and remediation activities",1
2011,Kelantan,"Water supply; sewerage, waste management and remediation activities",1
2012,Kelantan,"Water supply; sewerage, waste management and remediation activities",2.2
2013,Kelantan,"Water supply; sewerage, waste management and remediation activities",1.9
2014,Kelantan,"Water supply; sewerage, waste management and remediation activities",1.5
2015,Kelantan,"Water supply; sewerage, waste management and remediation activities",1.4
2016,Kelantan,"Water supply; sewerage, waste management and remediation activities",0.9
2017,Kelantan,"Water supply; sewerage, waste management and remediation activities",1.4
2018,Kelantan,"Water supply; sewerage, waste management and remediation activities",2.7
2019,Kelantan,"Water supply; sewerage, waste management and remediation activities",1.7
2020,Kelantan,"Water supply; sewerage, waste management and remediation activities",1.4
2021,Kelantan,"Water supply; sewerage, waste management and remediation activities",1
1982,MALAYSIA,Construction,377.5
1983,MALAYSIA,Construction,425.6
1984,MALAYSIA,Construction,428
1985,MALAYSIA,Construction,419.4
1986,MALAYSIA,Construction,369.4
1987,MALAYSIA,Construction,336.3
1988,MALAYSIA,Construction,339.9
1989,MALAYSIA,Construction,376.9
1990,MALAYSIA,Construction,423.9
1992,MALAYSIA,Construction,506.7
1993,MALAYSIA,Construction,538.8
1995,MALAYSIA,Construction,611.3
1996,MALAYSIA,Construction,716.5
1997,MALAYSIA,Construction,793
1998,MALAYSIA,Construction,745.9
1999,MALAYSIA,Construction,722.8
2000,MALAYSIA,Construction,759.9
2001,MALAYSIA,"Electricity, gas and water supply",57.3
2002,MALAYSIA,"Electricity, gas and water supply",50.6
2003,MALAYSIA,"Electricity, gas and water supply",57.6
2004,MALAYSIA,"Electricity, gas and water supply",57.9
2005,MALAYSIA,"Electricity, gas and water supply",56.6
2006,MALAYSIA,"Electricity, gas and water supply",75.4
2007,MALAYSIA,"Electricity, gas and water supply",60.8
2008,MALAYSIA,"Electricity, gas and water supply",60.5
2009,MALAYSIA,"Electricity, gas and water supply",58.1
2010,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",66.7
2011,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",71.9
2012,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",81
2013,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",83.7
2014,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",81.2
2015,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",72.1
2016,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",76.4
2017,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",81
2018,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",88.6
2019,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",88.8
2020,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",83.7
2021,MALAYSIA,"Water supply; sewerage, waste management and remediation activities",85.5
1982,Melaka,Construction,11.8
1983,Melaka,Construction,13.1
1984,Melaka,Construction,13
1985,Melaka,Construction,13.1
1986,Melaka,Construction,9.4
1987,Melaka,Construction,8.8
1988,Melaka,Construction,9.5
1989,Melaka,Construction,11.3
1990,Melaka,Construction,11.4
1992,Melaka,Construction,15.2
1993,Melaka,Construction,15.5
1995,Melaka,Construction,18.4
1996,Melaka,Construction,18.7
1997,Melaka,Construction,27.6
1998,Melaka,Construction,19.4
1999,Melaka,Construction,14.6
2000,Melaka,Construction,13.6
2001,Melaka,"Electricity, gas and water supply",1.5
2002,Melaka,"Electricity, gas and water supply",1.2
2003,Melaka,"Electricity, gas and water supply",1.3
2004,Melaka,"Electricity, gas and water supply",1.9
2005,Melaka,"Electricity, gas and water supply",1.9
2006,Melaka,"Electricity, gas and water supply",2.1
2007,Melaka,"Electricity, gas and water supply",1.8
2008,Melaka,"Electricity, gas and water supply",2.8
2009,Melaka,"Electricity, gas and water supply",2.5
2010,Melaka,"Water supply; sewerage, waste management and remediation activities",2.3
2011,Melaka,"Water supply; sewerage, waste management and remediation activities",2.8
2012,Melaka,"Water supply; sewerage, waste management and remediation activities",4.1
2013,Melaka,"Water supply; sewerage, waste management and remediation activities",2.6
2014,Melaka,"Water supply; sewerage, waste management and remediation activities",3.2
2015,Melaka,"Water supply; sewerage, waste management and remediation activities",2.5
2016,Melaka,"Water supply; sewerage, waste management and remediation activities",3.2
2017,Melaka,"Water supply; sewerage, waste management and remediation activities",3
2018,Melaka,"Water supply; sewerage, waste management and remediation activities",2.4
2019,Melaka,"Water supply; sewerage, waste management and remediation activities",2.4
2020,Melaka,"Water supply; sewerage, waste management and remediation activities",2.6
2021,Melaka,"Water supply; sewerage, waste management and remediation activities",1.6
1982,Negeri Sembilan,Construction,13.8
1983,Negeri Sembilan,Construction,15
1984,Negeri Sembilan,Construction,16.3
1985,Negeri Sembilan,Construction,13.6
1986,Negeri Sembilan,Construction,13.3
1987,Negeri Sembilan,Construction,10.5
1988,Negeri Sembilan,Construction,6.9
1989,Negeri Sembilan,Construction,13
1990,Negeri Sembilan,Construction,14.1
1992,Negeri Sembilan,Construction,14.8
1993,Negeri Sembilan,Construction,16.3
1995,Negeri Sembilan,Construction,21.5
1996,Negeri Sembilan,Construction,24.7
1997,Negeri Sembilan,Construction,31.5
1998,Negeri Sembilan,Construction,23
1999,Negeri Sembilan,Construction,23.2
2000,Negeri Sembilan,Construction,24.3
2001,Negeri Sembilan,"Electricity, gas and water supply",2.5
2002,Negeri Sembilan,"Electricity, gas and water supply",2.8
2003,Negeri Sembilan,"Electricity, gas and water supply",1.5
2004,Negeri Sembilan,"Electricity, gas and water supply",3
2005,Negeri Sembilan,"Electricity, gas and water supply",4.3
2006,Negeri Sembilan,"Electricity, gas and water supply",1.8
2007,Negeri Sembilan,"Electricity, gas and water supply",2.4
2008,Negeri Sembilan,"Electricity, gas and water supply",3.1
2009,Negeri Sembilan,"Electricity, gas and water supply",3.1
2010,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",4.6
2011,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",2.3
2012,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",3.7
2013,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",2.5
2014,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",3.7
2015,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",4.8
2016,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",3.7
2017,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",2.6
2018,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",3.7
2019,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",3.8
2020,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",3.5
2021,Negeri Sembilan,"Water supply; sewerage, waste management and remediation activities",4.4
1982,Pulau Pinang,Construction,30.3
1983,Pulau Pinang,Construction,30
1984,Pulau Pinang,Construction,32
1985,Pulau Pinang,Construction,33.5
1986,Pulau Pinang,Construction,27.1
1987,Pulau Pinang,Construction,25.4
1988,Pulau Pinang,Construction,27.1
1989,Pulau Pinang,Construction,27.4
1990,Pulau Pinang,Construction,34.1
1992,Pulau Pinang,Construction,32.3
1993,Pulau Pinang,Construction,28.6
1995,Pulau Pinang,Construction,27.4
1996,Pulau Pinang,Construction,20.9
1997,Pulau Pinang,Construction,34.4
1998,Pulau Pinang,Construction,39
1999,Pulau Pinang,Construction,38.6
2000,Pulau Pinang,Construction,40.6
2001,Pulau Pinang,"Electricity, gas and water supply",3.8
2002,Pulau Pinang,"Electricity, gas and water supply",2.6
2003,Pulau Pinang,"Electricity, gas and water supply",3.7
2004,Pulau Pinang,"Electricity, gas and water supply",2.9
2005,Pulau Pinang,"Electricity, gas and water supply",3.6
2006,Pulau Pinang,"Electricity, gas and water supply",5.6
2007,Pulau Pinang,"Electricity, gas and water supply",3.8
2008,Pulau Pinang,"Electricity, gas and water supply",3.7
2009,Pulau Pinang,"Electricity, gas and water supply",2.1
2010,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",4.1
2011,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",5.4
2012,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",4.2
2013,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",6.1
2014,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",6
2015,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",4.5
2016,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",3.3
2017,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",6.4
2018,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",3.5
2019,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",4.2
2020,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",4.5
2021,Pulau Pinang,"Water supply; sewerage, waste management and remediation activities",3.4
1982,Pahang,Construction,14.2
1983,Pahang,Construction,16.4
1984,Pahang,Construction,12.7
1985,Pahang,Construction,15.2
1986,Pahang,Construction,13
1987,Pahang,Construction,10.1
1988,Pahang,Construction,9.6
1989,Pahang,Construction,14.7
1990,Pahang,Construction,17.5
1992,Pahang,Construction,22.4
1993,Pahang,Construction,12.3
1995,Pahang,Construction,28.6
1996,Pahang,Construction,23.7
1997,Pahang,Construction,31.8
1998,Pahang,Construction,33.6
1999,Pahang,Construction,25.6
2000,Pahang,Construction,33.7
2001,Pahang,"Electricity, gas and water supply",1.6
2002,Pahang,"Electricity, gas and water supply",1.4
2003,Pahang,"Electricity, gas and water supply",2
2004,Pahang,"Electricity, gas and water supply",1.3
2005,Pahang,"Electricity, gas and water supply",2.4
2006,Pahang,"Electricity, gas and water supply",3.6
2007,Pahang,"Electricity, gas and water supply",3.8
2008,Pahang,"Electricity, gas and water supply",2.6
2009,Pahang,"Electricity, gas and water supply",4.1
2010,Pahang,"Water supply; sewerage, waste management and remediation activities",6.7
2011,Pahang,"Water supply; sewerage, waste management and remediation activities",4
2012,Pahang,"Water supply; sewerage, waste management and remediation activities",5.2
2013,Pahang,"Water supply; sewerage, waste management and remediation activities",4.7
2014,Pahang,"Water supply; sewerage, waste management and remediation activities",4.2
2015,Pahang,"Water supply; sewerage, waste management and remediation activities",4.6
2016,Pahang,"Water supply; sewerage, waste management and remediation activities",6.3
2017,Pahang,"Water supply; sewerage, waste management and remediation activities",5
2018,Pahang,"Water supply; sewerage, waste management and remediation activities",6.3
2019,Pahang,"Water supply; sewerage, waste management and remediation activities",8.4
2020,Pahang,"Water supply; sewerage, waste management and remediation activities",7.3
2021,Pahang,"Water supply; sewerage, waste management and remediation activities",7.3
1982,Perak,Construction,39.2
1983,Perak,Construction,40.5
1984,Perak,Construction,42.7
1985,Perak,Construction,38.7
1986,Perak,Construction,34
1987,Perak,Construction,33
1988,Perak,Construction,28.4
1989,Perak,Construction,37.7
1990,Perak,Construction,37.3
1992,Perak,Construction,47.2
1993,Perak,Construction,50
1995,Perak,Construction,51.3
1996,Perak,Construction,53.8
1997,Perak,Construction,62.9
1998,Perak,Construction,47.9
1999,Perak,Construction,50.8
2000,Perak,Construction,59.3
2001,Perak,"Electricity, gas and water supply",3.7
2002,Perak,"Electricity, gas and water supply",5.1
2003,Perak,"Electricity, gas and water supply",3.3
2004,Perak,"Electricity, gas and water supply",2.4
2005,Perak,"Electricity, gas and water supply",2.7
2006,Perak,"Electricity, gas and water supply",4.2
2007,Perak,"Electricity, gas and water supply",3.4
2008,Perak,"Electricity, gas and water supply",3.4
2009,Perak,"Electricity, gas and water supply",3.4
2010,Perak,"Water supply; sewerage, waste management and remediation activities",3.1
2011,Perak,"Water supply; sewerage, waste management and remediation activities",5.1
2012,Perak,"Water supply; sewerage, waste management and remediation activities",5.7
2013,Perak,"Water supply; sewerage, waste management and remediation activities",3.2
2014,Perak,"Water supply; sewerage, waste management and remediation activities",4.8
2015,Perak,"Water supply; sewerage, waste management and remediation activities",3.5
2016,Perak,"Water supply; sewerage, waste management and remediation activities",3.5
2017,Perak,"Water supply; sewerage, waste management and remediation activities",6.4
2018,Perak,"Water supply; sewerage, waste management and remediation activities",8.1
2019,Perak,"Water supply; sewerage, waste management and remediation activities",6
2020,Perak,"Water supply; sewerage, waste management and remediation activities",8.7
2021,Perak,"Water supply; sewerage, waste management and remediation activities",5.7
1982,Perlis,Construction,5.2
1983,Perlis,Construction,6.1
1984,Perlis,Construction,5.2
1985,Perlis,Construction,4.7
1986,Perlis,Construction,3
1987,Perlis,Construction,3.3
1988,Perlis,Construction,5
1989,Perlis,Construction,3.3
1990,Perlis,Construction,3.5
1992,Perlis,Construction,5.2
1993,Perlis,Construction,7.2
1995,Perlis,Construction,6.1
1996,Perlis,Construction,5.6
1997,Perlis,Construction,6
1998,Perlis,Construction,6
1999,Perlis,Construction,5.8
2000,Perlis,Construction,5.4
2001,Perlis,"Electricity, gas and water supply",0.3
2002,Perlis,"Electricity, gas and water supply",0.1
2003,Perlis,"Electricity, gas and water supply",0.3
2004,Perlis,"Electricity, gas and water supply",0.2
